track_id,track_name,artist,album,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,decade
7dOz8RrPWP9UgJ8X8p1vU7,West End Blues,Louis Armstrong,The Essential Louis Armstrong,0.986,0.602,0.206,3,-12.063,1,0.0457,0.372,0.0729,0.41,83.693,196600,4,1920
2WZxlrWF4LUC2ROlrdbQM1,St Louis Blues,Bessie Smith,The Anthology,0.993,0.568,0.205,10,-5.325,1,0.0404,5.29E-05,0.106,0.271,69.954,190720,4,1920
4M6I6aTorpVswszBYtkiUb,Blue Yodel #1 (t For Texas),Jimmie Rodgers,The Very Best Of,0.972,0.527,0.228,9,-15.461,1,0.0392,0.735,0.147,0.561,161.157,204200,4,1920
3agLlt9JpTB330JWO3IA5v,Ain't Misbehavin,Fats Waller,1934-1943 - Ain't Misbehavin,0.989,0.546,0.299,0,-14.836,0,0.0635,0.791,0.192,0.635,96.154,241427,4,1920
0nr7SuSNymfeyfe09ozVsu,Wildwood Flower,A. P. Carter,The Carter Family 1927 - 1934 Disc A,0.947,0.609,0.257,5,-13.194,1,0.0295,0.00307,0.132,0.47,109.379,190507,4,1920
2P9nh9pTK96dE0b6NBbTSs,"Dark Was the Night, Cold Was the Ground",Blind Willie Johnson,Dark Was The Night (Mojo Workin'- Blues For The Next Generation),0.968,0.394,0.0406,9,-23.179,1,0.044,0.0453,0.0976,0.2,116.117,198560,1,1920
7G3qdCgIUs36XhMItOQzEY,Swanee,Various Artists,"The Roaring 20s Year-By-Year: 1920 to 1929, The Number One Hits of the Decade",0.995,0.551,0.155,5,-14.327,1,0.177,0.000412,0.0996,0.644,116.779,156347,4,1920
10QQ2JdnG8fGF0jszPOGv5,Pony Blues,Charley Patton,Father Of Delta Blues,0.964,0.422,0.265,10,-14.697,1,0.036,0.906,0.105,0.457,117.405,180625,4,1920
4rsYmMFTlv7ULtlsz1Al1u,Rhapsody In Blue,Various Artists,Greatest Hits Of The 20's,0.984,0.347,0.26,8,-15.117,0,0.0433,0.866,0.545,0.198,83.484,539977,4,1920
5j6tQBJnNG4wLLdVISJ5g2,Crazy Blues,Mamie Smith,Mamie Smith Vol. 1 (1920-1921),0.996,0.436,0.178,5,-13.36,1,0.0448,0.912,0.259,0.464,111.858,202240,4,1920
5iltwljBW1H5ScLeeiB9ZB,Black and Tan Fantasy,Duke Ellington,The Essential Duke Ellington,0.984,0.492,0.194,6,-14.073,1,0.0577,0.104,0.182,0.368,91.353,203373,4,1920
4BAWJzRXuugy7YyntfQdw4,Singin' The Blues,Bix Beiderbecke And Frankie Trumbauer,Bix And Tram,0.995,0.652,0.14,0,-15.658,0,0.0743,0.91,0.0691,0.82,135.995,182227,4,1920
3qcTpP3EuOEFbrYwLP2FxK,See See Rider Blues - Remastered,Ma Rainey,Blues Legends: Ma Rainey,0.996,0.457,0.118,4,-16.838,1,0.0472,0.877,0.247,0.312,69.72,199120,4,1920
05Fqtv0hpBriJj803R6x8i,Statesboro Blues,Blind Willie McTell,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,0.973,0.573,0.267,6,-9.051,1,0.0547,0.000388,0.106,0.437,90.522,152853,4,1920
5Bk13n28rlG7GYCKDshsQM,In a Mist,Bix Beiderbecke,"Bix Beiderbecke, Volume I: Singin' The Blues",0.996,0.392,0.29,0,-19.273,1,0.0348,0.958,0.112,0.485,175.04,163733,4,1920
7yV1m8MAoViH1w3kz43IYd,Pine Top's Boogie Woogie,Various Artists,"Shake Your Wicked Knees: Classic Piano Rags, Blues & Stomps 1928 - 43",0.99,0.386,0.217,2,-12.554,0,0.0599,0.0598,0.109,0.836,167.102,203200,4,1920
11wRQCSeIxhc03agkCQmtN,Carolina Shout,Various Artists,Tiger Rag (Jazz Age - a Hommage to the Great Gatsby Era 1920 - 1923),0.992,0.408,0.264,0,-20.502,1,0.035,0.882,0.122,0.789,103.102,167533,4,1920
1yA0l37wwpnlyX4Ta6vei2,Ol' Man River,Paul Robeson,Paul Robeson,0.989,0.357,0.261,10,-12.104,1,0.0312,0.0314,0.0907,0.513,89.09,159800,4,1920
5EdGWBR6OhOcfYjl5ygDE3,Matchbox Blues,Blind Lemon Jefferson,Blind Lemon Jefferson (The Big Blues Collection),0.978,0.546,0.347,8,-10.263,1,0.047,9.71E-05,0.0918,0.596,76.514,174520,4,1920
3DtAes6km3k23AX3UPErJ4,Downhearted Blues,Bessie Smith,The Anthology,0.996,0.646,0.135,0,-9.895,1,0.0482,0.452,0.126,0.551,82.716,206573,4,1920
5UoIFZNmK8uCutLI2foCtS,Empty Bed Blues,Bessie Smith,Goddesses Of Blues - Bessie Smith,0.993,0.749,0.197,5,-4.793,1,0.0393,7.49E-05,0.126,0.6,84.912,381493,4,1920
1ellvuD5W8qe7qXUCr5wsV,Dippermouth Blues,Louis Armstrong,Louis Armstrong And King Oliver,0.996,0.581,0.345,0,-12.977,1,0.0645,0.932,0.111,0.876,94.048,146933,4,1920
18qGYJw1r37BJS5MXnFv0s,Stardust - Remastered 2002,Hoagy Carmichael,Stardust Melody,0.995,0.462,0.153,2,-17.79,1,0.0427,0.934,0.096,0.239,72.151,210773,3,1920
6ZVBicBfxMWKeQ9QGWTtTR,Makin' Whoopee,Various Artists,"The Naughty 1920s: Red Hot & Risque Songs of The Jazz Age, Vol. 1",0.907,0.435,0.239,7,-10.646,1,0.0477,1.20E-06,0.0682,0.548,80.641,191800,3,1920
11XVIzgMo5daEv92b0ZqU5,See That My Grave Is Kept Clean,Various Artists,The Roots of Jimi Hendrix,0.995,0.397,0.23,3,-11.015,1,0.0588,0.0142,0.116,0.344,180.765,176560,4,1920
3Nr2M6VDnP3wOd0aKC4Xam,Whispering,Various Artists,Roaring '20s Jazz,0.996,0.631,0.372,2,-13.188,1,0.0291,0.892,0.155,0.559,97.492,200467,4,1920
5omAihF3ZYrkLw1dODHUQF,Potato Head Blues - 78rpm Version,Louis Armstrong,The Essential Louis Armstrong,0.97,0.615,0.419,2,-7.91,1,0.349,0.349,0.275,0.838,176.699,180173,4,1920
6b6NXJ9XVj1nu7QE20S2dC,How Long - How Long Blues,Leroy Carr,Leroy Carr Vol. 1 (1928-1929),0.972,0.511,0.218,3,-16.517,1,0.0424,1.93E-05,0.136,0.455,83.619,188894,4,1920
1QXDHHW5flQi6zr87Dfujj,Keep On The Sunny Side,Various Artists,The Best Of Bob Dylan's Theme Time Radio Hour,0.901,0.723,0.456,11,-5.653,1,0.0291,7.32E-06,0.156,0.944,114.148,171120,4,1920
59Chs6CY6iojwtmobRVQFg,Stack O' Lee,Various Artists,100 Blues Classics,0.994,0.648,0.139,3,-17.611,1,0.0376,0.436,0.11,0.841,108.23,177493,4,1920
0cylmIi6YDuqssX8LzqQz5,Struttin' with Some Barbecue - 78 rpm Version,Louis Armstrong,Columbia Original Masters,0.932,0.732,0.327,8,-7.941,1,0.125,0.863,0.0481,0.885,95.97,183947,4,1920
7fAa9rz4UmwuB4AGh50Gmp,St. James Infirmary,Louis Armstrong,The Complete Hot Five And Hot Seven Recordings Volume 3,0.902,0.693,0.182,5,-11.022,0,0.0514,4.10E-05,0.153,0.588,116.508,191867,4,1920
11yR8LYrznfqVw7PW8EbPC,The Little Old Log Cabin In The Lane,Fiddlin John Carson,Fiddlin John Carson Vol. 1 1923 - 1924,0.994,0.502,0.0996,2,-16.259,1,0.0499,0,0.327,0.778,98.782,167367,4,1920
7d7B6Q29FcM3W4qV5C3y1B,How Can A Poor Man Stand Such Times And Live - Remastered 2003,Various Artists,Poor Man's Heaven - Blues And Tales Of The Great Depression - When The Sun Goes Down Series,0.995,0.638,0.321,6,-11.429,1,0.0596,4.59E-05,0.264,0.572,96.081,194320,4,1920
4csDYf5M8uQH8xeh7hPoTk,My Man,Various Artists,Broadway: The American Musical,0.987,0.41,0.147,0,-12.967,1,0.0643,0,0.388,0.369,88.728,205187,4,1920
7rlfOiuLEku432WtlH0FlI,Sally Gooden,Various Artists,"Birth Of Bluegrass, Vol. 2",0.995,0.324,0.218,11,-17.917,0,0.0491,0.934,0.0613,0.387,133.683,192093,4,1920
1o9r0qPHxx5iYTzykgLcl0,St. Louis Blues - Vocal,Louis Armstrong,The Essential Louis Armstrong,0.938,0.685,0.526,6,-7.881,1,0.0548,0.881,0.0722,0.959,180.015,177893,4,1920
1OzFztLTlMVMFHn5DYu77j,It's Tight Like That,Various Artists,Tampa Red,0.995,0.534,0.182,10,-18.429,1,0.198,0.941,0.119,0.827,200.412,184627,4,1920
4kG46bTGpUgPmo5GnbOjy3,My Mammy,Al Jolson,The Best Of Al Jolson,0.772,0.464,0.336,5,-12.64,1,0.0634,3.96E-05,0.303,0.61,115.854,177507,4,1920
51Z3oWEeuSnmP31ZjEmeof,King Porter Stomp,Jelly Roll Morton,Jelly Roll Morton 1923/24,0.995,0.733,0.169,5,-15.982,0,0.139,0.817,0.189,0.921,96.352,153427,4,1920
4dwwFJfTJQeYKtvr3yMMil,Honky Tonk Train Blues,Various Artists,"Really the Blues?: A Blues History (1893-1959), Vol. 1 (1893-1929)",0.992,0.414,0.336,9,-18.566,0,0.0411,0.928,0.168,0.892,78.695,192400,4,1920
21LLYz6RwOh5ymXLgZkPzg,Allons À Lafayette,Sampler,Cajun Music - Musique De La Louisane,0.975,0.555,0.538,7,-7.372,1,0.0314,0.00472,0.357,0.841,92.924,179080,4,1920
4KeVQDtO1wC5eRraNkIslp,Fascinating Rhythm,George Gershwin,The Songs of George Gershwin,0.994,0.594,0.292,5,-12.829,0,0.0653,0.105,0.116,0.773,176.609,144827,4,1920
